Week,aeepr: (Puerto Rico)
2017-01-01,17
2017-01-08,18
2017-01-15,7
2017-01-22,18
2017-01-29,13
2017-02-05,20
2017-02-12,14
2017-02-19,14
2017-02-26,12
2017-03-05,21
2017-03-12,21
2017-03-19,11
2017-03-26,13
2017-04-02,18
2017-04-09,12
2017-04-16,16
2017-04-23,14
2017-04-30,20
2017-05-07,23
2017-05-14,24
2017-05-21,22
2017-05-28,24
2017-06-04,20
2017-06-11,20
2017-06-18,22
2017-06-25,13
2017-07-02,16
2017-07-09,17
2017-07-16,20
2017-07-23,17
2017-07-30,19
2017-08-06,19
2017-08-13,23
2017-08-20,17
2017-08-27,17
2017-09-03,36
2017-09-10,42
2017-09-17,21
2017-09-24,56
2017-10-01,100
2017-10-08,57
2017-10-15,49
2017-10-22,43
2017-10-29,49
2017-11-05,44
2017-11-12,43
2017-11-19,22
2017-11-26,29
2017-12-03,25
2017-12-10,26
2017-12-17,22
2017-12-24,23
2017-12-31,29
2018-01-07,28
2018-01-14,21
2018-01-21,27
2018-01-28,22
2018-02-04,21
2018-02-11,27
2018-02-18,19
2018-02-25,25
2018-03-04,26
2018-03-11,20
2018-03-18,31
2018-03-25,17
2018-04-01,23
2018-04-08,33
2018-04-15,29
2018-04-22,21
2018-04-29,15
2018-05-06,16
2018-05-13,17
2018-05-20,15
2018-05-27,19
2018-06-03,19
2018-06-10,14
