Week,american airlines: (Puerto Rico)
2017-01-01,18
2017-01-08,23
2017-01-15,13
2017-01-22,14
2017-01-29,13
2017-02-05,12
2017-02-12,12
2017-02-19,16
2017-02-26,14
2017-03-05,15
2017-03-12,23
2017-03-19,14
2017-03-26,16
2017-04-02,15
2017-04-09,18
2017-04-16,17
2017-04-23,16
2017-04-30,16
2017-05-07,15
2017-05-14,14
2017-05-21,21
2017-05-28,22
2017-06-04,14
2017-06-11,19
2017-06-18,19
2017-06-25,19
2017-07-02,21
2017-07-09,19
2017-07-16,16
2017-07-23,15
2017-07-30,21
2017-08-06,20
2017-08-13,13
2017-08-20,11
2017-08-27,11
2017-09-03,16
2017-09-10,14
2017-09-17,18
2017-09-24,100
2017-10-01,71
2017-10-08,48
2017-10-15,47
2017-10-22,28
2017-10-29,30
2017-11-05,25
2017-11-12,22
2017-11-19,18
2017-11-26,12
2017-12-03,16
2017-12-10,12
2017-12-17,19
2017-12-24,14
2017-12-31,18
2018-01-07,15
2018-01-14,14
2018-01-21,13
2018-01-28,12
2018-02-04,14
2018-02-11,14
2018-02-18,11
2018-02-25,15
2018-03-04,13
2018-03-11,19
2018-03-18,16
2018-03-25,16
2018-04-01,18
2018-04-08,14
2018-04-15,10
2018-04-22,19
2018-04-29,15
2018-05-06,13
2018-05-13,20
2018-05-20,21
2018-05-27,11
2018-06-03,15
2018-06-10,12
