Week,ath movil: (Puerto Rico)
2017-01-01,36
2017-01-08,55
2017-01-15,43
2017-01-22,43
2017-01-29,41
2017-02-05,38
2017-02-12,42
2017-02-19,44
2017-02-26,40
2017-03-05,40
2017-03-12,46
2017-03-19,42
2017-03-26,41
2017-04-02,61
2017-04-09,47
2017-04-16,53
2017-04-23,53
2017-04-30,54
2017-05-07,61
2017-05-14,41
2017-05-21,65
2017-05-28,53
2017-06-04,48
2017-06-11,81
2017-06-18,68
2017-06-25,77
2017-07-02,48
2017-07-09,57
2017-07-16,53
2017-07-23,54
2017-07-30,67
2017-08-06,51
2017-08-13,61
2017-08-20,58
2017-08-27,56
2017-09-03,23
2017-09-10,47
2017-09-17,18
2017-09-24,100
2017-10-01,63
2017-10-08,69
2017-10-15,62
2017-10-22,82
2017-10-29,57
2017-11-05,48
2017-11-12,59
2017-11-19,64
2017-11-26,66
2017-12-03,59
2017-12-10,62
2017-12-17,69
2017-12-24,60
2017-12-31,42
2018-01-07,58
2018-01-14,52
2018-01-21,36
2018-01-28,61
2018-02-04,37
2018-02-11,39
2018-02-18,54
2018-02-25,73
2018-03-04,48
2018-03-11,47
2018-03-18,33
2018-03-25,55
2018-04-01,54
2018-04-08,72
2018-04-15,45
2018-04-22,32
2018-04-29,34
2018-05-06,28
2018-05-13,50
2018-05-20,39
2018-05-27,49
2018-06-03,35
2018-06-10,58
