Week,clasificados online: (Puerto Rico)
2017-01-01,76
2017-01-08,79
2017-01-15,67
2017-01-22,69
2017-01-29,69
2017-02-05,68
2017-02-12,68
2017-02-19,62
2017-02-26,66
2017-03-05,67
2017-03-12,63
2017-03-19,67
2017-03-26,69
2017-04-02,67
2017-04-09,71
2017-04-16,70
2017-04-23,64
2017-04-30,69
2017-05-07,69
2017-05-14,67
2017-05-21,83
2017-05-28,82
2017-06-04,78
2017-06-11,71
2017-06-18,67
2017-06-25,68
2017-07-02,73
2017-07-09,71
2017-07-16,74
2017-07-23,76
2017-07-30,75
2017-08-06,76
2017-08-13,76
2017-08-20,73
2017-08-27,68
2017-09-03,53
2017-09-10,72
2017-09-17,54
2017-09-24,35
2017-10-01,48
2017-10-08,64
2017-10-15,69
2017-10-22,86
2017-10-29,88
2017-11-05,90
2017-11-12,87
2017-11-19,82
2017-11-26,84
2017-12-03,83
2017-12-10,86
2017-12-17,100
2017-12-24,93
2017-12-31,99
2018-01-07,100
2018-01-14,99
2018-01-21,97
2018-01-28,92
2018-02-04,88
2018-02-11,71
2018-02-18,77
2018-02-25,72
2018-03-04,74
2018-03-11,80
2018-03-18,86
2018-03-25,89
2018-04-01,88
2018-04-08,84
2018-04-15,91
2018-04-22,88
2018-04-29,84
2018-05-06,93
2018-05-13,81
2018-05-20,88
2018-05-27,91
2018-06-03,88
2018-06-10,91
