Week,cnn: (Puerto Rico)
2017-01-01,22
2017-01-08,15
2017-01-15,20
2017-01-22,15
2017-01-29,21
2017-02-05,16
2017-02-12,13
2017-02-19,13
2017-02-26,12
2017-03-05,14
2017-03-12,13
2017-03-19,11
2017-03-26,11
2017-04-02,25
2017-04-09,45
2017-04-16,27
2017-04-23,19
2017-04-30,15
2017-05-07,12
2017-05-14,16
2017-05-21,17
2017-05-28,12
2017-06-04,17
2017-06-11,19
2017-06-18,15
2017-06-25,13
2017-07-02,15
2017-07-09,13
2017-07-16,12
2017-07-23,10
2017-07-30,16
2017-08-06,23
2017-08-13,21
2017-08-20,22
2017-08-27,20
2017-09-03,30
2017-09-10,30
2017-09-17,21
2017-09-24,100
2017-10-01,53
2017-10-08,22
2017-10-15,22
2017-10-22,13
2017-10-29,26
2017-11-05,20
2017-11-12,11
2017-11-19,12
2017-11-26,13
2017-12-03,16
2017-12-10,16
2017-12-17,14
2017-12-24,13
2017-12-31,16
2018-01-07,12
2018-01-14,20
2018-01-21,12
2018-01-28,15
2018-02-04,14
2018-02-11,21
2018-02-18,15
2018-02-25,10
2018-03-04,10
2018-03-11,15
2018-03-18,11
2018-03-25,14
2018-04-01,13
2018-04-08,22
2018-04-15,17
2018-04-22,13
2018-04-29,14
2018-05-06,12
2018-05-13,16
2018-05-20,15
2018-05-27,10
2018-06-03,13
2018-06-10,15
