Week,ebay: (Puerto Rico)
2017-01-01,74
2017-01-08,69
2017-01-15,73
2017-01-22,68
2017-01-29,65
2017-02-05,71
2017-02-12,63
2017-02-19,64
2017-02-26,62
2017-03-05,65
2017-03-12,57
2017-03-19,63
2017-03-26,62
2017-04-02,63
2017-04-09,68
2017-04-16,63
2017-04-23,58
2017-04-30,64
2017-05-07,58
2017-05-14,62
2017-05-21,64
2017-05-28,67
2017-06-04,63
2017-06-11,66
2017-06-18,59
2017-06-25,64
2017-07-02,63
2017-07-09,65
2017-07-16,64
2017-07-23,60
2017-07-30,65
2017-08-06,68
2017-08-13,59
2017-08-20,61
2017-08-27,58
2017-09-03,50
2017-09-10,59
2017-09-17,46
2017-09-24,53
2017-10-01,73
2017-10-08,90
2017-10-15,92
2017-10-22,96
2017-10-29,91
2017-11-05,100
2017-11-12,89
2017-11-19,93
2017-11-26,89
2017-12-03,88
2017-12-10,78
2017-12-17,85
2017-12-24,90
2017-12-31,80
2018-01-07,79
2018-01-14,81
2018-01-21,70
2018-01-28,69
2018-02-04,65
2018-02-11,64
2018-02-18,64
2018-02-25,62
2018-03-04,64
2018-03-11,57
2018-03-18,63
2018-03-25,61
2018-04-01,58
2018-04-08,60
2018-04-15,56
2018-04-22,58
2018-04-29,58
2018-05-06,53
2018-05-13,52
2018-05-20,59
2018-05-27,54
2018-06-03,55
2018-06-10,58
