Week,energia solar: (Puerto Rico)
2017-01-01,0
2017-01-08,4
2017-01-15,8
2017-01-22,16
2017-01-29,15
2017-02-05,20
2017-02-12,12
2017-02-19,36
2017-02-26,22
2017-03-05,8
2017-03-12,15
2017-03-19,32
2017-03-26,8
2017-04-02,20
2017-04-09,29
2017-04-16,16
2017-04-23,19
2017-04-30,12
2017-05-07,24
2017-05-14,9
2017-05-21,9
2017-05-28,9
2017-06-04,4
2017-06-11,0
2017-06-18,8
2017-06-25,21
2017-07-02,4
2017-07-09,0
2017-07-16,4
2017-07-23,4
2017-07-30,4
2017-08-06,0
2017-08-13,16
2017-08-20,8
2017-08-27,0
2017-09-03,5
2017-09-10,4
2017-09-17,9
2017-09-24,100
2017-10-01,21
2017-10-08,14
2017-10-15,0
2017-10-22,27
2017-10-29,23
2017-11-05,34
2017-11-12,25
2017-11-19,13
2017-11-26,27
2017-12-03,11
2017-12-10,21
2017-12-17,5
2017-12-24,0
2017-12-31,11
2018-01-07,10
2018-01-14,28
2018-01-21,18
2018-01-28,9
2018-02-04,9
2018-02-11,9
2018-02-18,31
2018-02-25,17
2018-03-04,25
2018-03-11,60
2018-03-18,9
2018-03-25,22
2018-04-01,38
2018-04-08,46
2018-04-15,17
2018-04-22,17
2018-04-29,29
2018-05-06,25
2018-05-13,33
2018-05-20,25
2018-05-27,13
2018-06-03,9
2018-06-10,4
