Week,fedex: (Puerto Rico)
2017-01-01,17
2017-01-08,17
2017-01-15,11
2017-01-22,12
2017-01-29,17
2017-02-05,10
2017-02-12,17
2017-02-19,13
2017-02-26,11
2017-03-05,13
2017-03-12,13
2017-03-19,12
2017-03-26,9
2017-04-02,15
2017-04-09,14
2017-04-16,20
2017-04-23,12
2017-04-30,10
2017-05-07,13
2017-05-14,11
2017-05-21,14
2017-05-28,7
2017-06-04,12
2017-06-11,10
2017-06-18,12
2017-06-25,16
2017-07-02,10
2017-07-09,16
2017-07-16,14
2017-07-23,14
2017-07-30,7
2017-08-06,9
2017-08-13,14
2017-08-20,11
2017-08-27,14
2017-09-03,9
2017-09-10,8
2017-09-17,9
2017-09-24,94
2017-10-01,100
2017-10-08,61
2017-10-15,63
2017-10-22,61
2017-10-29,43
2017-11-05,35
2017-11-12,34
2017-11-19,18
2017-11-26,23
2017-12-03,29
2017-12-10,36
2017-12-17,38
2017-12-24,26
2017-12-31,16
2018-01-07,25
2018-01-14,25
2018-01-21,14
2018-01-28,13
2018-02-04,14
2018-02-11,8
2018-02-18,14
2018-02-25,16
2018-03-04,17
2018-03-11,18
2018-03-18,17
2018-03-25,7
2018-04-01,14
2018-04-08,16
2018-04-15,14
2018-04-22,13
2018-04-29,14
2018-05-06,16
2018-05-13,12
2018-05-20,8
2018-05-27,18
2018-06-03,17
2018-06-10,24
