Week,jetblue: (Puerto Rico)
2017-01-01,21
2017-01-08,21
2017-01-15,17
2017-01-22,17
2017-01-29,12
2017-02-05,15
2017-02-12,13
2017-02-19,15
2017-02-26,15
2017-03-05,14
2017-03-12,16
2017-03-19,17
2017-03-26,16
2017-04-02,19
2017-04-09,17
2017-04-16,13
2017-04-23,13
2017-04-30,14
2017-05-07,16
2017-05-14,19
2017-05-21,21
2017-05-28,19
2017-06-04,16
2017-06-11,18
2017-06-18,17
2017-06-25,17
2017-07-02,18
2017-07-09,16
2017-07-16,17
2017-07-23,17
2017-07-30,16
2017-08-06,16
2017-08-13,16
2017-08-20,15
2017-08-27,13
2017-09-03,16
2017-09-10,16
2017-09-17,17
2017-09-24,100
2017-10-01,57
2017-10-08,44
2017-10-15,41
2017-10-22,32
2017-10-29,30
2017-11-05,25
2017-11-12,20
2017-11-19,15
2017-11-26,19
2017-12-03,16
2017-12-10,17
2017-12-17,16
2017-12-24,18
2017-12-31,21
2018-01-07,19
2018-01-14,13
2018-01-21,14
2018-01-28,14
2018-02-04,18
2018-02-11,15
2018-02-18,13
2018-02-25,13
2018-03-04,17
2018-03-11,14
2018-03-18,16
2018-03-25,14
2018-04-01,13
2018-04-08,14
2018-04-15,13
2018-04-22,12
2018-04-29,12
2018-05-06,14
2018-05-13,16
2018-05-20,13
2018-05-27,15
2018-06-03,16
2018-06-10,18
