Week,liberty: (Puerto Rico)
2017-01-01,49
2017-01-08,43
2017-01-15,35
2017-01-22,33
2017-01-29,41
2017-02-05,26
2017-02-12,42
2017-02-19,34
2017-02-26,34
2017-03-05,36
2017-03-12,41
2017-03-19,44
2017-03-26,34
2017-04-02,38
2017-04-09,40
2017-04-16,37
2017-04-23,37
2017-04-30,40
2017-05-07,33
2017-05-14,35
2017-05-21,38
2017-05-28,39
2017-06-04,42
2017-06-11,37
2017-06-18,39
2017-06-25,38
2017-07-02,40
2017-07-09,44
2017-07-16,45
2017-07-23,48
2017-07-30,37
2017-08-06,42
2017-08-13,46
2017-08-20,47
2017-08-27,40
2017-09-03,40
2017-09-10,81
2017-09-17,33
2017-09-24,100
2017-10-01,68
2017-10-08,61
2017-10-15,65
2017-10-22,43
2017-10-29,68
2017-11-05,49
2017-11-12,46
2017-11-19,34
2017-11-26,53
2017-12-03,51
2017-12-10,51
2017-12-17,44
2017-12-24,54
2017-12-31,46
2018-01-07,52
2018-01-14,45
2018-01-21,53
2018-01-28,62
2018-02-04,47
2018-02-11,48
2018-02-18,49
2018-02-25,45
2018-03-04,42
2018-03-11,43
2018-03-18,51
2018-03-25,46
2018-04-01,40
2018-04-08,47
2018-04-15,42
2018-04-22,38
2018-04-29,46
2018-05-06,36
2018-05-13,46
2018-05-20,47
2018-05-27,57
2018-06-03,51
2018-06-10,59
