Week,paypal: (Puerto Rico)
2017-01-01,50
2017-01-08,55
2017-01-15,45
2017-01-22,42
2017-01-29,46
2017-02-05,41
2017-02-12,40
2017-02-19,39
2017-02-26,50
2017-03-05,43
2017-03-12,36
2017-03-19,38
2017-03-26,44
2017-04-02,44
2017-04-09,38
2017-04-16,45
2017-04-23,34
2017-04-30,44
2017-05-07,48
2017-05-14,40
2017-05-21,46
2017-05-28,45
2017-06-04,48
2017-06-11,41
2017-06-18,41
2017-06-25,44
2017-07-02,47
2017-07-09,45
2017-07-16,47
2017-07-23,47
2017-07-30,40
2017-08-06,38
2017-08-13,50
2017-08-20,48
2017-08-27,44
2017-09-03,30
2017-09-10,45
2017-09-17,27
2017-09-24,100
2017-10-01,99
2017-10-08,84
2017-10-15,66
2017-10-22,44
2017-10-29,47
2017-11-05,56
2017-11-12,49
2017-11-19,54
2017-11-26,62
2017-12-03,51
2017-12-10,50
2017-12-17,52
2017-12-24,51
2017-12-31,59
2018-01-07,48
2018-01-14,49
2018-01-21,40
2018-01-28,49
2018-02-04,50
2018-02-11,57
2018-02-18,47
2018-02-25,43
2018-03-04,39
2018-03-11,40
2018-03-18,42
2018-03-25,36
2018-04-01,35
2018-04-08,51
2018-04-15,36
2018-04-22,50
2018-04-29,37
2018-05-06,41
2018-05-13,42
2018-05-20,44
2018-05-27,33
2018-06-03,49
2018-06-10,43
