Week,ups: (Puerto Rico)
2017-01-01,27
2017-01-08,24
2017-01-15,20
2017-01-22,16
2017-01-29,19
2017-02-05,22
2017-02-12,13
2017-02-19,15
2017-02-26,11
2017-03-05,13
2017-03-12,18
2017-03-19,18
2017-03-26,14
2017-04-02,15
2017-04-09,19
2017-04-16,17
2017-04-23,23
2017-04-30,18
2017-05-07,18
2017-05-14,19
2017-05-21,20
2017-05-28,17
2017-06-04,16
2017-06-11,16
2017-06-18,15
2017-06-25,20
2017-07-02,18
2017-07-09,26
2017-07-16,23
2017-07-23,20
2017-07-30,18
2017-08-06,17
2017-08-13,14
2017-08-20,18
2017-08-27,18
2017-09-03,15
2017-09-10,20
2017-09-17,23
2017-09-24,63
2017-10-01,77
2017-10-08,89
2017-10-15,100
2017-10-22,93
2017-10-29,76
2017-11-05,48
2017-11-12,44
2017-11-19,32
2017-11-26,42
2017-12-03,53
2017-12-10,50
2017-12-17,42
2017-12-24,35
2017-12-31,28
2018-01-07,29
2018-01-14,28
2018-01-21,23
2018-01-28,18
2018-02-04,20
2018-02-11,23
2018-02-18,18
2018-02-25,17
2018-03-04,16
2018-03-11,21
2018-03-18,23
2018-03-25,18
2018-04-01,18
2018-04-08,20
2018-04-15,15
2018-04-22,14
2018-04-29,20
2018-05-06,16
2018-05-13,18
2018-05-20,12
2018-05-27,17
2018-06-03,16
2018-06-10,21
