Week,wapa: (Puerto Rico)
2017-01-01,6
2017-01-08,6
2017-01-15,7
2017-01-22,5
2017-01-29,7
2017-02-05,7
2017-02-12,8
2017-02-19,8
2017-02-26,8
2017-03-05,12
2017-03-12,24
2017-03-19,25
2017-03-26,8
2017-04-02,10
2017-04-09,9
2017-04-16,11
2017-04-23,8
2017-04-30,25
2017-05-07,9
2017-05-14,10
2017-05-21,10
2017-05-28,12
2017-06-04,11
2017-06-11,11
2017-06-18,14
2017-06-25,12
2017-07-02,12
2017-07-09,12
2017-07-16,11
2017-07-23,11
2017-07-30,10
2017-08-06,11
2017-08-13,12
2017-08-20,13
2017-08-27,16
2017-09-03,100
2017-09-10,13
2017-09-17,95
2017-09-24,50
2017-10-01,31
2017-10-08,27
2017-10-15,17
2017-10-22,22
2017-10-29,17
2017-11-05,12
2017-11-12,11
2017-11-19,11
2017-11-26,13
2017-12-03,10
2017-12-10,7
2017-12-17,7
2017-12-24,6
2017-12-31,8
2018-01-07,8
2018-01-14,9
2018-01-21,9
2018-01-28,8
2018-02-04,8
2018-02-11,9
2018-02-18,8
2018-02-25,9
2018-03-04,8
2018-03-11,6
2018-03-18,8
2018-03-25,8
2018-04-01,8
2018-04-08,7
2018-04-15,11
2018-04-22,11
2018-04-29,25
2018-05-06,15
2018-05-13,11
2018-05-20,10
2018-05-27,9
2018-06-03,11
2018-06-10,10
